"","authors","citation","citationHtml","contacts","createdAt","description","fileCount","global_id","identifier_of_dataverse","keywords","majorVersion","minorVersion","name","name_of_dataverse","published_at","publisher","storageIdentifier","subjects","type","updatedAt","url","versionId","versionState"
"92","Digital Archive of Massachusetts Anti-Slavery and Anti-Segregation Petitions, Massachusetts Archives, Boston MA","Digital Archive of Massachusetts Anti-Slavery and Anti-Segregation Petitions, Massachusetts Archives, Boston MA, 2015, ""Passed Acts; St. 1843, c.69, SC1/series 229"", https://doi.org/10.7910/DVN/FKD0NV, Harvard Dataverse, V4","Digital Archive of Massachusetts Anti-Slavery and Anti-Segregation Petitions, Massachusetts Archives, Boston MA, 2015, ""Passed Acts; St. 1843, c.69, SC1/series 229"", <a href=""https://doi.org/10.7910/DVN/FKD0NV"" target=""_blank"">https://doi.org/10.7910/DVN/FKD0NV</a>, Harvard Dataverse, V4","list(name = """", affiliation = """")","2015-07-06T21:59:30Z","Petition subject: Great Massachusetts Petition Original: http://nrs.harvard.edu/urn-3:FHCL:13448109 Date of creation: (unknown) Petition location: Rochester Total signatures: 146 Unidentified signatures: 146 Additional non-petition or unrelated documents available at archive: additional documents available Additional archivist notes: George Latimer [note: this data reflects the information on the spreadsheet submitted by Henry I. Bowditch and William F. Channing to the legislature, which was filed with St. 1843, c.69, passed April 26, 1843. The majority of the Great Massachusetts Petition has not been located.] Location of the petition at the Massachusetts Archives of the Commonwealth: St. 1843, c.69, passed April 26, 1843 Acknowledgements: Supported by the National Endowment for the Humanities (PW-5105612), Massachusetts Archives of the Commonwealth, Radcliffe Institute for Advanced Study at Harvard University, Center for American Political Studies at Harvard University, Institutional Development Initiative at Harvard University, and Harvard University Library.","1","doi:10.7910/DVN/FKD0NV","antislaverypetitionsma","c(""146"", ""146"")","4","0","Passed Acts; St. 1843, c.69, SC1/series 229","Antislavery Petitions Massachusetts Dataverse","2017-02-05T18:57:18Z","Antislavery Petitions Massachusetts Dataverse","s3://10.7910/DVN/FKD0NV","Social Sciences","dataset","2017-02-05T18:57:18Z","https://doi.org/10.7910/DVN/FKD0NV","120532","RELEASED"
"93","Lacina, Bethany","Lacina, Bethany, 2015, ""Periphery versus periphery: The stakes of separatist war"", https://doi.org/10.7910/DVN/29101, Harvard Dataverse, V1, UNF:5:v/iCcx5xNc35GbOxMjVEfw== [fileUNF]","Lacina, Bethany, 2015, ""Periphery versus periphery: The stakes of separatist war"", <a href=""https://doi.org/10.7910/DVN/29101"" target=""_blank"">https://doi.org/10.7910/DVN/29101</a>, Harvard Dataverse, V1, UNF:5:v/iCcx5xNc35GbOxMjVEfw== [fileUNF]","list(name = ""Bethany Lacina"", affiliation = ""University of Rochester"")","2015-02-11T20:03:07Z","This is replication data for main and supplementary tables in Periphery versus Periphery: The Stakes of Separatist War, Bethany Lacina, JOP. The data are ethnic group-year observations, based on the Ethnic Power Relations Dataset (http://thedata.harvard.edu/dvn/dv/epr). The independent variables created for the JOP article are information about spatial overlap between ethnic groups and the relative political power of overlapping groups.","2","doi:10.7910/DVN/29101","jop","c(""separatism"", ""civil war"")","1","0","Periphery versus periphery: The stakes of separatist war","The Journal of Politics Dataverse","2015-02-12T00:00:00Z","The Journal of Politics Dataverse","s3://10.7910/DVN/29101","list()","dataset","2015-04-11T09:20:37Z","https://doi.org/10.7910/DVN/29101","68805","RELEASED"
"94","Digital Archive of Native American Petitions, Massachusetts Archives, Boston MA","Digital Archive of Native American Petitions, Massachusetts Archives, Boston MA, 2017, ""Petition of Barnabas Lothrop"", https://doi.org/10.7910/DVN/N6EMEU, Harvard Dataverse, V7","Digital Archive of Native American Petitions, Massachusetts Archives, Boston MA, 2017, ""Petition of Barnabas Lothrop"", <a href=""https://doi.org/10.7910/DVN/N6EMEU"" target=""_blank"">https://doi.org/10.7910/DVN/N6EMEU</a>, Harvard Dataverse, V7","list(name = """", affiliation = """")","2017-05-01T01:05:49Z","Petition subject: Property Original: http://nrs.harvard.edu/urn-3:FHCL:28548548 Date of creation: 1706-05-29 Petition location: Barnstable Legislator, committee, or address that the petition was sent to: Several names from a committee Selected signatures: Barnabas Lothrop Actions taken on dates: 1706-06,1706-10-29,1706-11-12,1706-11-29,1706-12-04,1708-06-08 Legislative action: Read in the Council in June 1706 and received and granted in the Council on October 29, 1706 and sent for concurrence and received and read in the House on October 29, 1706 and received and read in the House on November 12, 1706 and received and read and not concurred in the House on November 29, 1706 and received and committed in the House on November 29, 1706 and sent for concurrence and received and read and committed in the Council on December 4, 1706 and sent for concurrence and received and read and concurred in the House on December 4, 1706 and received and read and granted in the Council on June 8, 1708 and sent for concurrence and received and read and revived in the Council on October 29, 1708 and sent for concurrence and received and read and concurred in the House on October 29, 1708 Total signatures: 1 Legislative action summary: Read, received, granted, sent, received, read, received, read, received, read, not concurred, received, committed, sent, received, read, committed, sent, received, read, concurred, received, read, granted, sent, received, read, revived, sent, received, read, concurred Legal voter signatures (males not identified as non-legal): 1 Female only signatures: No Identifications of signatories: in Behalfe of himselfe and the heirs of Joseph Lothrop and John Thomson Gentln Deceased Prayer format was printed vs. manuscript: Manuscript Native American tribe: Mashpee Acknowledgements: Supported by the National Endowment for the Humanities (PW-5105612), Massachusetts Archives of the Commonwealth, Radcliffe Institute for Advanced Study at Harvard University, Center for American Political Studies at Harvard University, Institutional Development Initiative at Harvard University, and Harvard University Library. Additional archivist notes: lands, William Wetispaquin, Assaweta, heirs, Joseph Lothrop, John Thomson, Plimouth, Plymouth, deeds, Bristol, Rochester, gentlemen, Tiverton, Rhode Island, Freetown, Dartmouth, Middleborough, constable, Ephraim Little, Robert Crossman, Samuel Hinckley, Ephraim Hunt, Samuel Thaxter, Theophilus Cushing, Isaac Addington, Thomas Oakes, Thomas Oliver, [additional documents in volumes, see pages 343-349] Location of the petition at the Massachusetts Archives of the Commonwealth: Massachusetts Archives volume 45, pages 343-345","1","doi:10.7910/DVN/N6EMEU","nativeamericanpetitions","c(""committed"", ""concurred"", ""granted"", ""not concurred"", ""read"", ""read"", ""received"", ""revived"", ""sent"", ""Mashpee"", ""Manuscript"", ""Several names from a committee"", ""Barnabas Lothrop"", ""in Behalfe of himselfe and the heirs of Joseph Lothrop and John Thomson Gentln Deceased"", ""No"", ""1"", ""1"")","7","0","Petition of Barnabas Lothrop","Native American Petitions Dataverse","2018-09-29T17:03:45Z","Native American Petitions Dataverse","s3://10.7910/DVN/N6EMEU","Social Sciences","dataset","2018-09-29T17:03:45Z","https://doi.org/10.7910/DVN/N6EMEU","144242","RELEASED"
"95","Digital Archive of Native American Petitions, Massachusetts Archives, Boston MA","Digital Archive of Native American Petitions, Massachusetts Archives, Boston MA, 2017, ""Petition of Nathaniel Smith"", https://doi.org/10.7910/DVN/H776FM, Harvard Dataverse, V7","Digital Archive of Native American Petitions, Massachusetts Archives, Boston MA, 2017, ""Petition of Nathaniel Smith"", <a href=""https://doi.org/10.7910/DVN/H776FM"" target=""_blank"">https://doi.org/10.7910/DVN/H776FM</a>, Harvard Dataverse, V7","list(name = """", affiliation = """")","2017-05-01T01:23:37Z","Petition subject: Property Original: http://nrs.harvard.edu/urn-3:FHCL:28548225 Date of creation: 1765-06-11 Petition location: Middleborough and Rochester Selected signatures: Nathaniel Smith Elizabeth Hopper Actions taken on dates: 1765-06-11 Legislative action: Received and read and not granted in the Council on June 11, 1765 Total signatures: 2 Legislative action summary: Received, read, not granted Legal voter signatures (males not identified as non-legal): 1 Females of color signatures: 1 Female only signatures: No Identifications of signatories: guardian for the Indians in sd county, Indian woman, [females of color] Prayer format was printed vs. manuscript: Manuscript Signatory column format: not column separated Native American tribe: Mashpee Acknowledgements: Supported by the National Endowment for the Humanities (PW-5105612), Massachusetts Archives of the Commonwealth, Radcliffe Institute for Advanced Study at Harvard University, Center for American Political Studies at Harvard University, Institutional Development Initiative at Harvard University, and Harvard University Library. Additional archivist notes: father, John Wicknuck, John Wickmuck, John Weknuck, Aaron Barlow, Indian guardians, Plymouth county, lands, sale, restoration, Middleborough, Rochester, proprietors, 1697, wood, harbor, water, debts, deeds, 1702, English, suit in law, courts, Nathaniel Smith, Andrew Oliver, Francis Bernard, Shobal Barlow, Shubael Barlow, Aaron Barlow, Samuel Wing, [additional documents in volumes, see pages 335-337] Location of the petition at the Massachusetts Archives of the Commonwealth: Massachusetts Archives volume 33, pages 335-336","1","doi:10.7910/DVN/H776FM","nativeamericanpetitions","c(""not granted"", ""read"", ""received"", ""Mashpee"", ""Manuscript"", ""Elizabeth Hopper"", ""Nathaniel Smith"", ""Indian woman"", ""females of color"", ""guardian for the Indians in sd county"", ""not column separated"", ""No"", ""1"", ""1"", ""2"")","7","0","Petition of Nathaniel Smith","Native American Petitions Dataverse","2018-09-29T16:49:18Z","Native American Petitions Dataverse","s3://10.7910/DVN/H776FM","Social Sciences","dataset","2018-09-29T16:49:18Z","https://doi.org/10.7910/DVN/H776FM","144207","RELEASED"
"96","Digital Archive of Native American Petitions, Massachusetts Archives, Boston MA","Digital Archive of Native American Petitions, Massachusetts Archives, Boston MA, 2017, ""Petition of Samuel Willis"", https://doi.org/10.7910/DVN/L78THG, Harvard Dataverse, V7","Digital Archive of Native American Petitions, Massachusetts Archives, Boston MA, 2017, ""Petition of Samuel Willis"", <a href=""https://doi.org/10.7910/DVN/L78THG"" target=""_blank"">https://doi.org/10.7910/DVN/L78THG</a>, Harvard Dataverse, V7","list(name = """", affiliation = """")","2017-05-01T01:09:01Z","Petition subject: Property Original: http://nrs.harvard.edu/urn-3:FHCL:28548714 Date of creation: 1754-04-09 Petition location: Dartmouth Legislator, committee, or address that the petition was sent to: Several names from a committee Selected signatures: Samuel Willis Stephen West Actions taken on dates: 1754-04-09,1754-04-09,1754-04-12,1754-04-12 Legislative action: Received and read and committed in the Council on April 9, 1754 and sent for concurrence and received and read and concurred in the House on April 9, 1754 and reported and received and read and dismissed in the Council on April 12, 1754 and sent for concurrence and received and read and concurred in the House on April 12, 1754 Total signatures: 2 Legislative action summary: Received, read, committed, sent, received, read, concurred, reported, received, read, dismissed, sent, received, read, concurred Legal voter signatures (males not identified as non-legal): 2 Female only signatures: No Identifications of signatories: agents for the Town of Dartmouth in the County of Bristol Prayer format was printed vs. manuscript: Manuscript Native American tribe: Mashpee Acknowledgements: Supported by the National Endowment for the Humanities (PW-5105612), Massachusetts Archives of the Commonwealth, Radcliffe Institute for Advanced Study at Harvard University, Center for American Political Studies at Harvard University, Institutional Development Initiative at Harvard University, and Harvard University Library. Additional archivist notes: boundaries, Rochester, lands, Elisha Freeman, Plymouth, black oak tree, peaked rock, Naccata Island, Nakata Island, Nakatan Island, common law, deeds, 1652, 1665, King Philip, Pocanacutt, Pokanoket, [Aiushnogg River?], woods, Nakaia Island, compass, cardinal points, English, 1667, Robert Hazard, 1672, 1701, Little Compton, Rhode Island, taxation, Jonathan Cooke, ferry, King Philip's War, John Quincy, Thomas Clark, William Shirley, Thomas Hubbard, John Chandler, White, Joseph Williams, Adams Location of the petition at the Massachusetts Archives of the Commonwealth: Massachusetts Archives volume 116, pages 519-524","1","doi:10.7910/DVN/L78THG","nativeamericanpetitions","c(""committed"", ""concurred"", ""dismissed"", ""read"", ""received"", ""received"", ""reported"", ""sent"", ""Mashpee"", ""Manuscript"", ""Several names from a committee"", ""Samuel Willis"", ""Stephen West"", ""agents for the Town of Dartmouth in the County of Bristol"", ""No"", ""2"", ""2"")","7","0","Petition of Samuel Willis","Native American Petitions Dataverse","2018-09-29T17:13:15Z","Native American Petitions Dataverse","s3://10.7910/DVN/L78THG","Social Sciences","dataset","2018-09-29T17:13:15Z","https://doi.org/10.7910/DVN/L78THG","144268","RELEASED"
"97","c(""Ostrom, Elinor"", ""Parks, Roger B."", ""Whitaker, Gordon P."")","Ostrom, Elinor; Parks, Roger B.; Whitaker, Gordon P., 1984, ""Police Referral Practices and Social Service Agency Practices in Three Metropolitan Areas, 1977"", https://doi.org/10.3886/ICPSR07791.v1, Inter-university Consortium for Political and Social Research","Ostrom, Elinor; Parks, Roger B.; Whitaker, Gordon P., 1984, ""Police Referral Practices and Social Service Agency Practices in Three Metropolitan Areas, 1977"", <a href=""https://doi.org/10.3886/ICPSR07791.v1"" target=""_blank"">https://doi.org/10.3886/ICPSR07791.v1</a>, Inter-university Consortium for Political and Social Research","list(name = """", affiliation = """")","2015-04-09T03:10:33Z","The dataset contains two related studies conducted in the metropolitan areas of St. Louis, Missouri, Tampa - St. Petersburg, Florida, and Rochester, Ne w York. The study of police referral practices provies information on the types of calls made to police departments, the referrals made to social service agencies from these calls, and the pattern of citizen demands. Data for this study were collected from 26,465 calls for police service at 21 police departments. The 36 variables include the nature of the call, characteristics of the caller, and the type of agency receiving the referral.","5","doi:10.3886/ICPSR07791.v1","icpsr","c(""police intervention"", ""police referral"", ""police social services"", ""social services"")","NA","NA","Police Referral Practices and Social Service Agency Practices in Three Metropolitan Areas, 1977","ICPSR Harvested Dataverse","2015-04-09T03:10:33Z","ICPSR Harvested Dataverse","file://10.3886/ICPSR07791.v1","","dataset","2015-04-09T03:10:33Z","https://doi.org/10.3886/ICPSR07791.v1","34273","RELEASED"
"98","c(""Ostrom, Elinor"", ""Parks, Roger B."", ""Whitaker, Gordon"")","Ostrom, Elinor; Parks, Roger B.; Whitaker, Gordon, 1987, ""Police Services Study, Phase II, 1977: Rochester, St. Louis, and St. Petersburg"", https://doi.org/10.3886/ICPSR08605.v3, Inter-university Consortium for Political and Social Research","Ostrom, Elinor; Parks, Roger B.; Whitaker, Gordon, 1987, ""Police Services Study, Phase II, 1977: Rochester, St. Louis, and St. Petersburg"", <a href=""https://doi.org/10.3886/ICPSR08605.v3"" target=""_blank"">https://doi.org/10.3886/ICPSR08605.v3</a>, Inter-university Consortium for Political and Social Research","list(name = """", affiliation = """")","2015-04-09T04:10:21Z","The data for this study were collected in order to examine the delivery of police services in selected neighborhoods. Performances of police agencies organized in different ways were compared as they delivered services to different sets of comparable neighborhoods. For Part 1, Citizen Debriefing Data, data were drawn from telephone interviews conducted with citizens who were involved in police-citizen encounters or who requested police services during the observed shifts. The file contains data on the citizens involved in observed encounters, their satisfaction with the delivered services, and neighborhood characteristics. This file includes variables such as the type of incident, estimated property loss, police response time, type of action taken by police, citizen satisfaction with the handling of the problem by police, reasons for dissatisfaction, the emotional state of the citizen during the encounter, whom the officers referred the citizen to for help, the citizen's prior contacts with police, and the citizen's education, age, sex, and total family income. Part 2, General Shift Information, contains data describing the shift (i.e., the eight-hour tour of duty to which the officers were assigned), the officers, and the events occurring during an observed shift. This file includes such variables as the total number of encounters, a breakdown of dispatched runs by type, the number of contacts with other officers, the number of contacts with non-police support units, officer discretion in taking legal action, and officer attitudes on patrol styles and activities. Part 3, Police Encounters Data, describes police encounters observed by the research team during selected shifts. It consists of information describing the officers' role in encounters with citizens observed during a shift and their demeanor toward the citizens involved. The file includes variables such as the type of encounter, how the encounter began, whether the citizens involved possessed a weapon, the encounter location, what other agencies were present during the encounter and when they arrived, police actions during the encounter, the role of citizens involved in the encounter, the demeanor of the officer toward the citizens during the encounter, actions taken by the citizens, which services were requested by the citizens, and how the observer affected the encounter. Part 4, Victimization Survey Data, examined citizen attitudes about the police and crime in their neighborhoods. The data were obtained through telephone interviews conducted by trained interviewers. These interviews followed a standard questionnaire designed by the project leaders. Variables include perceived risk of victimization, evaluations of the delivery of police services, household victimization occurring in the previous year, actions taken by citizens in response to crime, and demographic characteristics of the neighborhood.","4","doi:10.3886/ICPSR08605.v3","icpsr","c(""crime"", ""police activity"", ""police protection"", ""United States"", ""Missouri"", ""Missouri-St. Louis"", ""victimization"")","NA","NA","Police Services Study, Phase II, 1977:  Rochester, St. Louis, and St. Petersburg","ICPSR Harvested Dataverse","2015-04-09T04:10:21Z","ICPSR Harvested Dataverse","file://10.3886/ICPSR08605.v3","","dataset","2015-04-09T04:10:21Z","https://doi.org/10.3886/ICPSR08605.v3","39710","RELEASED"
"99","c(""Harvard Map Collection, Harvard College Library"", ""G.W. & C.B. Colton & Co."", ""Colton, G. Woolworth (George Woolworth), 1827-1901."", ""Portland & Rochester Railroad Company"")","Harvard Map Collection, Harvard College Library; G.W. & C.B. Colton & Co.; Colton, G. Woolworth (George Woolworth), 1827-1901.; Portland & Rochester Railroad Company, 2021, ""Portland & Rochester Railroad, New England, 1860 (Raster Image)"", Harvard Geospatial Library","Harvard Map Collection, Harvard College Library; G.W. &amp; C.B. Colton &amp; Co.; Colton, G. Woolworth (George Woolworth), 1827-1901.; Portland &amp; Rochester Railroad Company, 2021, ""Portland &amp; Rochester Railroad, New England, 1860 (Raster Image)"", Harvard Geospatial Library","list(name = """", affiliation = """")","2011-02-20T13:33:04Z","This layer is a georeferenced raster image of the historic paper map entitled: Map showing the Portland & Rochester railroad and its connections, prepared by G.W. & C.B. Colton & Co. It was published in 1860. Scale [ca. 1:900,000]. Covers Vermont, New Hampshire, Massachusetts, Connecticut, Rhode Island, and portions of New York, Maine, and the provinces of Quebec and New Brunswick, Canada. The image inside the map neatline is georeferenced to the surface of the earth and fit to the USA Contiguous Albers Equal Area Conic projection (Meters). All map collar and inset information is also available as part of the raster image, including any inset maps, profiles, statistical tables, directories, text, illustrations, or other information associated with the principal map. This map shows features such as railraods, principal and proposed railroad connections, drainage, state, county, and town boundaries, and more. Relief shown by hachures. Includes table of distances and inset: [Northeastern United States]. Scale [ca. 1:7,600,000]. This layer is part of a selection of digitally scanned and georeferenced historic maps of New England from the Harvard Map Collection. These maps typically portray both natural and manmade features. The selection represents a range of regions, originators, ground condition dates, scales, and purposes.","1","hdl:1902.6/ISBKL","hgl","NULL","1","0","Portland & Rochester Railroad, New England, 1860 (Raster Image)","Harvard Geospatial Library Dataverse","2011-12-13T00:00:00Z","Harvard Geospatial Library Dataverse","file://1902.6/ISBKL","","dataset","2015-04-08T04:31:29Z","https://hdl.handle.net/1902.6/ISBKL","20440","RELEASED"
"100","Dr. Ira Sheskin","Dr. Ira Sheskin, 2021, ""Portrait of a Community, Jewish Rochester 2000"", Roper Center","Dr. Ira Sheskin, 2021, ""Portrait of a Community, Jewish Rochester 2000"", Roper Center","list(name = """", affiliation = """")","2017-02-01T16:49:25Z","Population Estimates: It is estimated in the published report that there are 20,847 Jews in Monroe County. The sampling procedure included two different sampling frames: random digit dialing (RDD) and households with a distinctive Jewish name (DJN) listed in the Rochester telephone directory.","0","hdl:1902.4/USNAJDB2000-RCH","roper","NULL","NA","NA","Portrait of a Community, Jewish Rochester 2000","Roper Harvested Dataverse","2017-02-01T16:49:25Z","Roper Harvested Dataverse","file://1902.4/USNAJDB2000-RCH","Social Sciences","dataset","2017-02-01T16:49:25Z","https://hdl.handle.net/1902.4/USNAJDB2000-RCH","98781","RELEASED"
"101","c(""Meng, Anne"", ""Paine, Jack"")","Meng, Anne; Paine, Jack, 2022, ""Power Sharing and Authoritarian Stability: How Rebel Regimes Solve the Guardianship Dilemma"", https://doi.org/10.7910/DVN/8LQZW9, Harvard Dataverse, V1, UNF:6:AXaa/BIpCxMnDKttFyIW2Q== [fileUNF]","Meng, Anne; Paine, Jack, 2022, ""Power Sharing and Authoritarian Stability: How Rebel Regimes Solve the Guardianship Dilemma"", <a href=""https://doi.org/10.7910/DVN/8LQZW9"" target=""_blank"">https://doi.org/10.7910/DVN/8LQZW9</a>, Harvard Dataverse, V1, UNF:6:AXaa/BIpCxMnDKttFyIW2Q== [fileUNF]","list(name = ""Meng, Anne"", affiliation = ""University of Virginia"")","2022-02-13T17:33:31Z","Regimes founded in rebellion are, typically, extremely durable. We propose that this stabil- ity is founded upon peaceful power sharing between the rebel regime leader and military elites. Amid long and intense fighting, rebel leaders must delegate control to top military commanders because doing so helps them to win battles. After seizing power, power-sharing deals between former combatants are highly credible due to their history of interactions, which mitigates the guardianship dilemma. Elsewhere, a persistent internal security dilemma often undermines power-sharing deals. Using originally collected data on African regimes from 1960–2017, we establish that rebel regimes break down seldomly compared to other authoritarian regimes, and experience fewer coups. Regarding the mechanism, rebel regimes more frequently share power with military elites by appointing a Minister of Defense. These Ministers are typically high-ranking members of the rebellion, which reflects the regime’s replacement of the state military with their own.","6","doi:10.7910/DVN/8LQZW9","the_review","NULL","1","0","Power Sharing and Authoritarian Stability: How Rebel Regimes Solve the Guardianship Dilemma","American Political Science Review Dataverse","2022-04-13T14:00:47Z","American Political Science Review Dataverse","s3://10.7910/DVN/8LQZW9","Social Sciences","dataset","2022-04-13T14:00:47Z","https://doi.org/10.7910/DVN/8LQZW9","313703","RELEASED"
"102","C. A. Thomas, E. M. Campbell, K. L. Baker, D. T. Casey, M. Hohenberger, A. L. Kritcher, B. K. Spears, S. F. Khan, R. Nora, D. T. Woods, J. L. Milovich, R. L. Berger, D. Strozzi, D. D. Ho, D. Clark, B. Bachmann, L. R. Benedetti, R. Bionta, P. M. Celliers, D. N. Fittinghoff, G. Grim, R. Hatarik, N. Izumi, G. Kyrala, T. Ma, M. Millot, S. R. Nagel, P. K. Patel, C. Yeamans, A. Nikroo, M. Tabak, M. Gatu Johnson, P. L. Volegov, S. M. Finnegan","C. A. Thomas, E. M. Campbell, K. L. Baker, D. T. Casey, M. Hohenberger, A. L. Kritcher, B. K. Spears, S. F. Khan, R. Nora, D. T. Woods, J. L. Milovich, R. L. Berger, D. Strozzi, D. D. Ho, D. Clark, B. Bachmann, L. R. Benedetti, R. Bionta, P. M. Celliers, D. N. Fittinghoff, G. Grim, R. Hatarik, N. Izumi, G. Kyrala, T. Ma, M. Millot, S. R. Nagel, P. K. Patel, C. Yeamans, A. Nikroo, M. Tabak, M. Gatu Johnson, P. L. Volegov, S. M. Finnegan, 2021, ""Principal factors in performance of indirect-drive laser fusion experiments"", https://doi.org/10.7910/DVN/Y5M3NI, Harvard Dataverse, V2","C. A. Thomas, E. M. Campbell, K. L. Baker, D. T. Casey, M. Hohenberger, A. L. Kritcher, B. K. Spears, S. F. Khan, R. Nora, D. T. Woods, J. L. Milovich, R. L. Berger, D. Strozzi, D. D. Ho, D. Clark, B. Bachmann, L. R. Benedetti, R. Bionta, P. M. Celliers, D. N. Fittinghoff, G. Grim, R. Hatarik, N. Izumi, G. Kyrala, T. Ma, M. Millot, S. R. Nagel, P. K. Patel, C. Yeamans, A. Nikroo, M. Tabak, M. Gatu Johnson, P. L. Volegov, S. M. Finnegan, 2021, ""Principal factors in performance of indirect-drive laser fusion experiments"", <a href=""https://doi.org/10.7910/DVN/Y5M3NI"" target=""_blank"">https://doi.org/10.7910/DVN/Y5M3NI</a>, Harvard Dataverse, V2","list(name = """", affiliation = """")","2021-06-25T18:29:32Z","Progress in inertial confinement fusion depends on the accurate interpretation of experiments that are complex and difficult to explain with simulations. Results could depend on small changes in the laser pulse or target or physics that are not fully understood or characterized. In this paper we discuss an x-ray-driven platform [K. Baker et al., Phys. Rev. Lett. 121, 135001 (2018)] with fewer sources of degradation, and find the fusion yield can be described as a physically motivated function of laser energy, target scale, and implosion symmetry. This platform and analysis could enable a more experimental approach to the study and optimization of implosion physics.","1","doi:10.7910/DVN/Y5M3NI","MIT-PSFC","c(""implosion symmetry"", ""indirect-drive"", ""inertial confinement fusion"", ""radiation hydrodynamics simulation"", ""yield degradation"")","2","0","Principal factors in performance of indirect-drive laser fusion experiments","Plasma Science and Fusion Center Dataverse","2021-11-11T14:09:34Z","Plasma Science and Fusion Center Dataverse","s3://10.7910/DVN/Y5M3NI","Physics","dataset","2021-11-11T14:09:34Z","https://doi.org/10.7910/DVN/Y5M3NI","280253","RELEASED"
"103","O. M. Mannion, K. M. Woo, A. J. Crilly, C. J. Forrest, J. A. Frenje, V. Yu. Glebov, M. Gatu Johnson, J. P. Knauer, Z. L. Mohamed, M. H. Romanofsky, C. Stoeckl, W. Theobald, S. P. Regan","O. M. Mannion, K. M. Woo, A. J. Crilly, C. J. Forrest, J. A. Frenje, V. Yu. Glebov, M. Gatu Johnson, J. P. Knauer, Z. L. Mohamed, M. H. Romanofsky, C. Stoeckl, W. Theobald, S. P. Regan, 2021, ""Reconstructing 3-D Asymmetries in Laser-Direct-Drive Implosions on OMEGA"", https://doi.org/10.7910/DVN/P05LCM, Harvard Dataverse, V2","O. M. Mannion, K. M. Woo, A. J. Crilly, C. J. Forrest, J. A. Frenje, V. Yu. Glebov, M. Gatu Johnson, J. P. Knauer, Z. L. Mohamed, M. H. Romanofsky, C. Stoeckl, W. Theobald, S. P. Regan, 2021, ""Reconstructing 3-D Asymmetries in Laser-Direct-Drive Implosions on OMEGA"", <a href=""https://doi.org/10.7910/DVN/P05LCM"" target=""_blank"">https://doi.org/10.7910/DVN/P05LCM</a>, Harvard Dataverse, V2","list(name = """", affiliation = """")","2021-08-16T18:56:37Z","Three-dimensional reconstruction algorithms have been developed which determine the hot-spot velocity, hot-spot apparent ion temperature distribution, and fuel areal-density distribution present in laser-direct- drive inertial confinement fusion implosions on the OMEGA laser. These reconstructions rely on multiple independent measurements of the neutron energy spectrum emitted from the fusing plasma. Measurements of the neutron energy spectrum on OMEGA are made using a suite of quasi-orthogonal neutron time-of-flight detectors and a magnetic recoil spectrometer. These spectrometers are positioned strategically around the OMEGA target chamber to provide unique 3-D measurements of the conditions of the fusing hot spot and compressed fuel near peak compression. The uncertainties involved in these 3-D reconstructions are discussed and are used to identify a new nTOF diagnostic line of sight which when built will reduce the uncertainty in the hot-spot apparent ion temperature distribution from 700 to <400 eV.","1","doi:10.7910/DVN/P05LCM","MIT-PSFC","c(""3D asymmetries"", ""direct drive implosion"", ""inertial confinement fusion"", ""neutron spectrometry"", ""OMEGA Laser Facility"")","2","0","Reconstructing 3-D Asymmetries in Laser-Direct-Drive Implosions on OMEGA","Plasma Science and Fusion Center Dataverse","2022-03-11T14:20:26Z","Plasma Science and Fusion Center Dataverse","s3://10.7910/DVN/P05LCM","Physics","dataset","2022-03-11T14:20:26Z","https://doi.org/10.7910/DVN/P05LCM","317928","RELEASED"
"104","c(""Opp, Christian C"", ""Glode, Vincent"")","Opp, Christian C; Glode, Vincent, 2023, ""Replication Code for: Private Renegotiations and Government Interventions in Credit Chains"", https://doi.org/10.7910/DVN/WQLGYZ, Harvard Dataverse, V1","Opp, Christian C; Glode, Vincent, 2023, ""Replication Code for: Private Renegotiations and Government Interventions in Credit Chains"", <a href=""https://doi.org/10.7910/DVN/WQLGYZ"" target=""_blank"">https://doi.org/10.7910/DVN/WQLGYZ</a>, Harvard Dataverse, V1","list(name = ""Opp, Christian"", affiliation = ""University of Rochester and NBER"")","2023-05-16T21:18:02Z","The Mathematica file provides the replication code for Figures 2 to 5 in the paper.","1","doi:10.7910/DVN/WQLGYZ","rfs","NULL","1","0","Replication Code for: Private Renegotiations and Government Interventions in Credit Chains","Review of Financial Studies Dataverse","2023-05-17T14:19:15Z","Review of Financial Studies Dataverse","s3://10.7910/DVN/WQLGYZ","c(""Business and Management"", ""Social Sciences"")","dataset","2023-05-17T14:19:15Z","https://doi.org/10.7910/DVN/WQLGYZ","345098","RELEASED"
